Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","OpenClawKeepalive/KeepaliveFn/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] Lambda basic execution role is AWS-recommended for CloudWatch Logs.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","OpenClawKeepalive/KeepaliveFn/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","OpenClawKeepalive/KeepaliveFn/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::*] bedrock-agentcore:InvokeAgentRuntime does not support resource-level ARNs.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","OpenClawKeepalive/KeepaliveFn/Resource","Suppressed","Python 3.13 is the latest stable runtime supported in all regions. Will upgrade to 3.14 when broadly available in Lambda.","Error","The non-container Lambda function is not configured to use the latest runtime version."
